Rk,Player,HR,Season,Age,Team,Lg,G,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GIDP,HBP,SH,SF,IBB,Pos,Player-additional
1,Mule Suttles,32,1926,25,SLS,NNL,89,390,358,90,152,73,28,19,32,130,15,,31,,.425,.472,.877,1.349,241,314,,1,,,,37/94,suttlmu99
2,Willie Wells,29,1927,22,SLS,NNL,96,418,361,90,131,76,21,5,29,108,9,,56,,.363,.450,.690,1.140,204,249,,1,,,,*6/5,wellswi99
3,Willie Wells,26,1929,24,CAGSLS,NNL,99,432,377,109,137,81,24,6,26,128,31,,53,,.363,.444,.666,1.110,185,251,,2,,,,*6,wellswi99
4,Turkey Stearnes,24,1928,27,DS,NNL,80,349,315,80,101,54,16,7,24,78,5,,29,,.321,.387,.644,1.031,177,203,,5,,,,*8/7,steartu99
5,Dewey Creacy,23,1926,26,SLS,NNL,92,422,391,95,133,74,27,9,23,107,7,,27,,.340,.389,.632,1.020,159,247,,4,,,,*5,creacde01
6,Wilson Redus,22,1928,23,SLS,NNL,78,341,315,72,110,61,21,6,22,82,6,,17,,.349,.399,.663,1.062,185,209,,9,,,,*7/9,reduswi01
7,Charlie Smith,22,1929,27,NLG,ANL,66,301,246,86,111,56,29,4,22,81,16,,48,,.451,.551,.870,1.421,242,214,,7,,,,*9/47,smithch11
8,Willie Wells,22,1928,23,SLS,NNL,78,345,315,82,113,58,28,5,22,81,13,,25,,.359,.414,.689,1.103,196,217,,5,,,,*6/7,wellswi99
9,Turkey Stearnes,21,1926,25,DS,NNL,93,389,342,94,131,68,33,9,21,103,21,,41,,.383,.458,.716,1.174,199,245,,6,,,,*8/7935,steartu99
10,Mule Suttles,21,1928,27,SLS,NNL,76,324,301,73,108,58,17,12,21,75,6,,22,,.359,.404,.704,1.109,197,212,,1,,,,*3/9,suttlmu99
11,Oscar Charleston,20,1925,28,HBG,ECL,71,306,255,97,109,63,23,3,20,97,17,,51,,.427,.523,.776,1.299,232,198,,,,,,*8/379,charlos99
12,Josh Gibson,20,1943,31,HG,NN2,69,302,249,93,116,65,22,9,20,109,4,,52,,.466,.560,.867,1.427,281,216,,1,0,0,,*29/7,gibsojo99
13,Josh Gibson,20,1937,25,HG,NN2,39,183,156,60,65,25,13,7,20,73,2,,25,,.417,.500,.974,1.474,273,152,,1,1,,2,2/357,gibsojo99
14,Heavy Johnson,20,1923,28,KCM,NNL,98,429,374,91,152,87,32,13,20,120,17,,38,,.406,.471,.722,1.193,207,270,,8,9,,,*97/3,johnshe01
15,Candy Jim Taylor,20,1923,39,SLSTT,NNL,61,244,215,49,80,50,7,3,20,76,4,,25,,.372,.438,.712,1.149,195,153,,0,4,,,*5/641,tayloca02
16,Oscar Charleston,19,1922,25,ABC,NNL,101,454,401,105,150,88,25,18,19,102,21,,41,,.374,.433,.668,1.102,195,268,,1,11,,,*83,charlos99
17,Turkey Stearnes,19,1927,26,DS,NNL,91,387,340,79,119,63,25,12,19,114,13,,46,,.350,.429,.662,1.091,191,225,,1,,,,*8,steartu99
18,Turkey Stearnes,19,1925,24,DS,NNL,94,412,367,93,136,79,24,14,19,126,11,,45,,.371,.439,.668,1.107,193,245,,,,,,*8/9,steartu99
19,Martín Dihigo,18,1929,24,HIL,ANL,78,328,271,68,90,54,14,4,18,79,8,,56,,.332,.448,.613,1.061,156,166,,1,,,,634/15782,dihigma99
20,Josh Gibson,18,1936,24,PC,NN2,50,208,175,51,68,39,7,4,18,66,6,,30,,.389,.478,.783,1.261,217,137,,0,3,,,2/39578,gibsojo99
21,Josh Gibson,18,1933,21,PC,NN2,68,262,238,61,94,54,15,7,18,74,4,,20,,.395,.442,.744,1.186,217,177,,0,4,,,*2/7395,gibsojo99
22,Wilson Redus,18,1927,22,SLS,NNL,96,390,373,66,137,90,19,10,18,77,2,,17,,.367,.395,.617,1.011,170,230,,0,,,,*79/85,reduswi01
23,Mule Suttles,18,1929,28,CAGSLS,NNL,99,409,372,82,127,71,31,7,18,110,10,,37,,.341,.401,.608,1.009,159,226,,0,,,,*3/574,suttlmu99
24,Turkey Stearnes,17,1923,22,DS,NNL,69,299,279,70,101,52,18,14,17,85,2,,17,,.362,.401,.710,1.110,184,198,,1,2,,,*8/19,steartu99
25,Willie Wells,17,1930,25,SLS,NNL,90,390,336,112,138,84,34,3,17,114,18,,52,,.411,.492,.682,1.174,214,229,,2,,,,*6/73,wellswi99
26,Edgar Wesley,17,1925,34,DS,NNL,60,256,228,58,92,59,12,4,17,73,10,,28,,.404,.469,.715,1.184,213,163,,,,,,3,wesleed01
27,Rap Dixon,16,1929,26,BBS,ANL,76,313,277,77,115,69,23,7,16,92,22,,33,,.415,.482,.722,1.204,190,200,,3,,,,*789/36,dixonra01
28,Wade Johnston,16,1929,31,DS,NNL,68,280,249,50,89,56,13,4,16,64,3,,31,,.357,.429,.635,1.063,173,158,,0,,,,*7,johnswa04
29,Clarence Palm,16,1929,21,SLS,NNL,65,213,201,36,67,35,13,3,16,62,3,,12,,.333,.371,.667,1.038,165,134,,0,,,,2,palmcl01
30,Turkey Stearnes,16,1929,28,DS,NNL,68,297,259,64,101,64,17,4,16,91,12,,38,,.390,.468,.672,1.140,194,174,,0,,,,*8,steartu99
31,Edgar Wesley,16,1926,35,DS,NNL,85,342,300,48,93,66,9,2,16,64,9,,39,,.310,.395,.513,.908,133,154,,3,,,,*3/78,wesleed01
32,Edgar Wesley,16,1923,32,DS,NNL,71,306,265,47,77,46,14,1,16,56,2,,33,,.291,.369,.532,.901,132,141,,0,8,,,*3,wesleed01
33,John Beckwith,15,1925,25,BBS,ECL,50,207,183,47,74,44,14,1,15,64,3,,24,,.404,.473,.738,1.211,209,135,,,,,,6/5324,beckwjo02
34,Oscar Charleston,15,1924,27,HBG,ECL,54,233,205,63,83,41,22,5,15,63,20,,28,,.405,.476,.780,1.257,251,160,,,,,,*8/39,charlos99
35,Oscar Charleston,15,1921,24,SLG,NNL,77,339,284,104,123,79,17,12,15,91,32,,41,,.433,.512,.736,1.248,250,209,,5,9,,,*8/1,charlos99
36,Josh Gibson,15,1934,22,PC,NN2,65,272,240,56,76,38,19,4,15,59,4,,30,,.317,.395,.617,1.012,181,148,,1,1,,,*2/3578,gibsojo99
