Rk,Player,Season,Age,Team,Lg,W,L,W-L%,Dec,ERA,G,GS,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Pos,Player-additional
1,Ted Alexander,1948,35,HG,NN2,2,1,.667,3,2.61,4,2,2,0,1,20.2,14,8,6,1,6,,5,0,,0,80,133,3.77,0.968,6.1,0.4,2.6,2.2,0.83,/1,alexate01
2,Marvin Barker,1948,36,NBY,NN2,0,1,.000,1,5.68,4,1,1,0,0,12.2,17,13,8,0,6,,1,0,,0,61,62,4.02,1.816,12.1,0.0,4.3,0.7,0.17,5/41,barkema01
3,Dave Barnhill,1948,34,NYC,NN2,4,7,.364,11,2.85,13,12,8,1,1,85.1,87,38,27,7,30,,50,1,,4,374,120,3.74,1.371,9.2,0.7,3.2,5.3,1.67,1,barnhda01
4,Lefty Bell,1948,27,HG,NN2,0,0,,0,4.32,5,0,0,0,0,8.1,8,4,4,0,4,,3,0,,0,37,83,3.48,1.440,8.6,0.0,4.3,3.2,0.75,/1,bellle02
5,Jimmie Bennett,1948,28,IC,NAL,0,0,,0,54.00,1,1,0,0,0,0.1,3,3,2,0,2,0,0,0,0,0,7,17,20.76,15.000,81.0,0.0,54.0,0.0,0.00,/1,benneji01
6,Joe Black,1948,24,BEG,NN2,8,3,.727,11,1.91,17,12,8,2,1,113.1,82,32,24,3,36,,85,1,,1,446,179,2.58,1.041,6.5,0.2,2.9,6.8,2.36,1/39,blackjo02
7,Garnett Blair,1948,26,HG,NN2,1,1,.500,2,1.77,3,3,1,0,0,20.1,11,7,4,0,9,,6,0,,0,82,196,3.50,0.984,4.9,0.0,4.0,2.7,0.67,/1,blairga01
8,Bill Blair,1948,26,IC,NAL,0,1,.000,1,20.25,2,1,0,0,0,2.2,8,8,6,0,4,0,2,0,0,0,19,27,5.76,4.500,27.0,0.0,13.5,6.8,0.50,/1,blairbi02
9,Eugene Bremer,1948,31,CBE,NAL,0,1,.000,1,2.00,1,1,1,0,0,9.0,14,6,2,0,1,0,5,1,0,0,44,249,2.31,1.667,14.0,0.0,1.0,5.0,5.00,/17,bremeeu01
10,Chet Brewer,1948,41,CBE,NAL,0,3,.000,3,6.11,5,4,3,0,0,35.1,48,34,24,0,14,0,22,0,0,0,172,79,2.70,1.755,12.2,0.0,3.6,5.6,1.57,/1,brewech02
11,Barney Brown,1948,40,PS,NN2,3,5,.375,8,2.38,11,6,4,0,0,56.2,58,24,15,3,16,,44,1,,2,237,143,2.79,1.306,9.2,0.5,2.5,7.0,2.75,1/79,brownba02
