Rk,Season,Team,Lg,GP,W,L,WL%,Bat#,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GIDP,HBP,SH,SF,IBB,LOB,R/Gm
1,1948,BBB,NAL,93,63,28,.692,18,1106,972,190,299,220,49,18,12,154,29,,99,,.308,.383,.432,.815,118,420,,20,15,,,,6.6
2,1948,BEG,NN2,80,49,29,.628,21,2234,1944,321,543,423,83,28,9,264,47,,213,,.279,.357,.365,.722,109,709,,22,55,,,,5.4
3,1948,CAG,NAL,96,38,57,.400,23,521,466,72,130,96,22,6,6,60,4,,43,,.279,.349,.391,.739,98,182,,7,5,,,,5.5
4,1948,CBE,NAL,105,48,54,.471,28,852,757,122,205,152,34,12,7,100,23,,70,,.271,.342,.375,.717,92,284,,12,13,,,,5.5
5,1948,HG,NN2,67,42,24,.636,25,1569,1395,209,359,267,54,18,20,172,38,,144,,.257,.332,.365,.697,101,509,,13,17,,,,5.0
6,1948,IC,NAL,106,40,61,.396,32,1160,1029,125,247,206,30,7,4,105,15,,107,,.240,.313,.294,.608,63,303,,3,21,,,,4.0
7,1948,KCM,NAL,104,67,34,.663,19,1799,1604,306,461,311,100,29,21,257,51,,166,,.287,.358,.425,.783,109,682,,11,18,,,,6.5
8,1948,MRS,NAL,112,43,65,.398,24,512,459,65,115,80,22,9,4,51,11,,41,,.251,.319,.364,.683,82,167,,5,7,,,,5.0
9,1948,NBY,NN2,47,9,38,.191,26,907,836,76,189,157,20,6,6,65,5,,60,,.226,.280,.286,.565,64,239,,2,9,,,,3.0
10,1948,NE,NN2,61,31,29,.517,26,1916,1689,206,405,321,46,22,16,177,23,,183,,.240,.317,.321,.638,85,543,,7,37,,,,3.8
11,1948,NYC,NN2,49,19,29,.396,33,1619,1457,206,400,285,76,28,11,181,23,,124,,.275,.333,.388,.721,108,565,,4,34,,,,4.9
12,1948,PS,NN2,62,30,31,.492,22,1808,1651,210,423,324,67,19,13,176,20,,113,,.256,.307,.343,.650,88,567,,7,37,,,,4.3
13,1947,BBB,NAL,92,50,42,.543,23,633,572,82,157,126,20,8,3,63,10,,41,,.274,.330,.353,.683,83,202,,6,14,,,,5.1
14,1947,BEG,NN2,83,41,40,.506,22,2510,2258,367,657,499,100,43,15,313,69,,176,,.291,.348,.393,.741,101,888,,22,54,,,,5.5
15,1947,CAG,NAL,87,29,58,.333,30,1157,1038,149,274,218,41,10,5,119,13,,95,,.264,.332,.337,.669,79,350,,10,14,,,,5.1
16,1947,CBE,NAL,76,57,19,.750,24,798,702,123,204,141,40,12,11,110,17,,68,,.291,.364,.429,.793,112,301,,13,15,,1,,5.9
17,1947,HG,NN2,74,35,35,.500,29,2209,1985,263,503,375,83,18,27,221,57,,175,,.253,.318,.354,.672,83,703,,13,36,,,,4.2
18,1947,IC,NAL,106,36,68,.346,37,1139,1020,136,259,207,39,10,3,114,8,,93,,.254,.320,.321,.641,72,327,,6,20,,,,4.5
19,1947,KCM,NAL,98,62,36,.633,27,2487,2169,434,633,459,103,38,33,359,79,,243,,.292,.369,.420,.789,111,911,,23,52,,,,6.7
20,1947,MRS,NAL,101,44,55,.444,25,850,728,117,181,144,28,4,5,100,18,,97,,.249,.345,.319,.664,78,232,,10,15,,,,5.6
21,1947,NBY,NN2,59,12,43,.218,34,1329,1174,161,299,244,33,16,6,140,19,,122,,.255,.330,.325,.655,78,382,,9,24,,,,4.7
22,1947,NE,NN2,92,51,40,.560,30,2205,1912,301,512,377,79,17,39,268,26,,236,,.268,.350,.388,.738,101,742,,6,51,,,,5.1
23,1947,NYC,NN2,68,47,20,.701,21,1643,1471,227,414,315,63,21,15,198,33,,131,,.281,.347,.383,.730,98,564,,16,25,,,,5.5
24,1947,PS,NN2,66,28,36,.438,23,1816,1607,247,430,340,64,19,7,219,21,,163,,.268,.337,.344,.681,86,553,,6,40,,,,5.0
25,1946,BBB,NAL,85,46,37,.554,22,391,344,46,90,76,8,5,1,31,12,,31,,.262,.339,.323,.661,95,111,,9,7,,1,,4.6
