Rk,Season,Team,Lg,GP,W,L,WL%,ERA,G,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB
1,1948,BBB,NAL,93,63,28,.692,3.75,29,15,3,2,244.2,275,137,102,11,83,0,152,5,0,6,1093,129,3.18,1.463,10.1,0.4,3.1,5.6,1.83
2,1948,BEG,NN2,80,49,29,.628,2.60,59,38,4,6,518.2,450,210,150,8,158,,333,8,,5,2132,131,2.63,1.172,7.8,0.1,2.7,5.8,2.11
3,1948,CAG,NAL,96,38,57,.400,6.81,13,5,0,0,108.1,150,99,82,4,49,0,61,6,0,7,528,73,3.63,1.837,12.5,0.3,4.1,5.1,1.24
4,1948,CBE,NAL,105,48,54,.471,5.15,22,12,0,0,183.1,212,142,105,10,92,0,101,12,1,1,879,95,4.07,1.658,10.4,0.5,4.5,5.0,1.10
5,1948,HG,NN2,67,42,24,.636,3.79,42,23,2,5,358.2,344,208,151,8,150,,157,8,,3,1557,91,3.49,1.377,8.6,0.2,3.8,3.9,1.05
6,1948,IC,NAL,106,40,61,.396,5.46,31,18,0,0,245.2,303,200,149,12,90,0,108,9,0,3,1139,90,3.72,1.600,11.1,0.4,3.3,4.0,1.20
7,1948,KCM,NAL,104,67,34,.663,3.92,47,30,3,5,401.2,402,241,175,11,166,0,291,24,0,12,1786,123,3.08,1.414,9.0,0.2,3.7,6.5,1.75
8,1948,MRS,NAL,112,43,65,.398,6.42,13,4,0,1,110.2,145,100,79,9,59,0,46,1,1,0,537,77,4.61,1.843,11.8,0.7,4.8,3.7,0.78
9,1948,NBY,NN2,47,9,38,.191,5.37,25,8,1,1,209.1,252,158,125,11,80,,96,10,,0,961,65,3.81,1.586,10.8,0.5,3.4,4.1,1.20
10,1948,NE,NN2,61,31,29,.517,2.84,54,32,6,4,456.2,405,209,144,7,164,,260,13,,6,1956,120,2.98,1.246,8.0,0.1,3.2,5.1,1.59
11,1948,NYC,NN2,49,19,29,.396,3.54,42,24,2,1,366.1,394,197,144,21,132,,223,7,,10,1626,97,3.42,1.436,9.7,0.5,3.2,5.5,1.69
12,1948,PS,NN2,62,30,31,.492,3.50,49,31,3,1,419.2,444,208,163,16,142,,264,10,,9,1811,98,3.08,1.396,9.5,0.3,3.0,5.7,1.86
13,1947,BBB,NAL,92,50,42,.543,4.98,16,6,0,1,137.1,172,91,76,8,48,0,71,6,0,0,628,98,3.58,1.602,11.3,0.5,3.1,4.7,1.48
14,1947,BEG,NN2,83,41,40,.506,3.16,67,44,4,6,581.0,552,285,204,8,228,0,353,17,0,14,2515,127,2.90,1.343,8.6,0.1,3.5,5.5,1.55
15,1947,CAG,NAL,87,29,58,.333,5.57,29,14,2,3,248.2,285,197,154,10,127,1,132,14,0,8,1159,87,3.84,1.657,10.3,0.4,4.6,4.8,1.04
16,1947,CBE,NAL,76,57,19,.750,4.15,21,11,2,2,178.0,194,121,82,8,71,0,93,9,0,5,801,118,3.56,1.489,9.8,0.4,3.6,4.7,1.31
17,1947,HG,NN2,74,35,35,.500,3.78,64,31,3,7,512.1,515,282,215,15,191,0,291,15,0,7,2243,107,3.13,1.378,9.0,0.3,3.4,5.1,1.52
18,1947,IC,NAL,106,36,68,.346,5.06,30,18,0,1,245.1,304,187,138,14,88,0,98,7,2,2,1140,97,3.78,1.598,11.2,0.5,3.2,3.6,1.11
19,1947,KCM,NAL,98,62,36,.633,4.31,65,38,3,4,549.1,597,350,263,14,240,0,343,26,0,6,2511,112,3.21,1.524,9.8,0.2,3.9,5.6,1.43
20,1947,MRS,NAL,101,44,55,.444,5.37,21,13,0,0,179.1,213,139,107,8,91,0,102,7,0,5,844,91,3.76,1.695,10.7,0.4,4.6,5.1,1.12
21,1947,NBY,NN2,59,12,43,.218,6.18,34,14,1,0,288.1,368,236,198,25,119,0,126,12,0,9,1356,66,4.29,1.689,11.5,0.8,3.7,3.9,1.06
22,1947,NE,NN2,92,51,40,.560,3.88,59,36,3,4,503.1,525,280,217,18,169,0,284,16,0,4,2193,104,3.11,1.379,9.4,0.3,3.0,5.1,1.68
23,1947,NYC,NN2,68,47,20,.701,2.84,41,20,4,4,367.2,332,153,116,17,118,0,222,5,0,6,1534,142,3.07,1.224,8.1,0.4,2.9,5.4,1.88
24,1947,PS,NN2,66,28,36,.438,5.06,49,27,3,6,418.1,466,286,235,24,160,0,243,6,0,8,1860,80,3.45,1.496,10.0,0.5,3.4,5.2,1.52
25,1946,BBB,NAL,85,46,37,.554,4.23,10,7,0,0,83.0,94,46,39,2,22,0,58,3,0,1,366,100,2.40,1.398,10.2,0.2,2.4,6.3,2.64
26,1946,BEG,NN2,77,38,34,.528,3.93,66,36,3,6,559.0,545,312,244,28,193,1,273,12,0,6,2427,112,3.36,1.320,8.8,0.5,3.1,4.4,1.41
27,1946,CAG,NAL,106,39,64,.379,3.63,20,12,1,1,171.0,159,99,69,1,72,0,106,15,0,9,776,116,2.95,1.351,8.4,0.1,3.8,5.6,1.47
