Rk,Name,Prfct,Gcar,Gtm,yearID,Date,teamID,playerID
1,Blake Snell*,,202,111,2024,2-Aug,SFN,snellbl01
2,Dylan Cease,,145,105,2024,25-Jul,SDN,ceasedy01
3,Ronel Blanco,,25,5,2024,1-Apr,HOU,blancro01
4,Michael Lorenzen,,333,115,2023,9-Aug,PHI,lorenmi01
5,Framber Valdez*,,119,108,2023,1-Aug,HOU,valdefr01
6,Domingo Germán,Y,107,80,2023,28-Jun,NYA,germado01
7,Reid Detmers*,,11,32,2022,10-May,LAA,detmere01
8,Tyler Gilbert*,,4,118,2021,14-Aug,ARI,gilbety01
9,CNUey Kluber,,218,43,2021,19-May,NYA,klubeco01
10,Spencer Turnbull,,51,42,2021,18-May,DET,turnbsp01
11,Wade Miley*,,261,30,2021,7-May,CIN,mileywa01
12,John Means*,,49,31,2021,5-May,BAL,meansjo01
13,Carlos Rodón*,,99,12,2021,14-Apr,CHA,rodonca01
14,Joe Musgrove,,110,8,2021,9-Apr,SDN,musgrjo01
15,Alec Mills,,28,48,2020,13-Sep,CHN,millsal02
16,Lucas Giolito,,81,30,2020,25-Aug,CHA,giolilu01
17,Justin Verlander,,448,138,2019,1-Sep,HOU,verlaju01
18,Mike Fiers,,181,37,2019,7-May,OAK,fiersmi01
19,James Paxton*,,82,34,2018,8-May,SEA,paxtoja01
20,Sean Manaea*,,59,21,2018,21-Apr,OAK,manaese01
21,Edinson Vólquez,,270,54,2017,3-Jun,MIA,volqued01
22,Jake Arrieta,,140,16,2016,21-Apr,CHN,arrieja01
23,Max Scherzer,,240,161,2015,Oct 3(2),WAS,scherma01
24,Jake Arrieta,,130,129,2015,30-Aug,CHN,arrieja01
25,Mike Fiers,,75,123,2015,21-Aug,HOU,fiersmi01
26,Hisashi Iwakuma,,102,115,2015,12-Aug,SEA,iwakuhi01
27,Cole Hamels*,,295,99,2015,25-Jul,PHI,hamelco01
28,Max Scherzer,,221,69,2015,20-Jun,WAS,scherma01
29,Chris Heston,,15,59,2015,9-Jun,SFN,hestoch01
30,Jordan Zimmermann,,145,162,2014,28-Sep,WAS,zimmejo02
31,Tim Lincecum,,237,79,2014,25-Jun,SFN,linceti01
32,Clayton Kershaw*,,194,74,2014,18-Jun,LAN,kershcl01
33,Josh Beckett,,324,51,2014,25-May,LAN,beckejo02
34,Henderson Alvarez III,,58,162,2013,29-Sep,MIA,alvarhe01
35,Tim Lincecum,,208,93,2013,13-Jul,SFN,linceti01
36,Homer Bailey,,128,84,2013,2-Jul,CIN,baileho02
37,Homer Bailey,,110,157,2012,28-Sep,CIN,baileho02
38,Félix Hernández,Y,230,119,2012,15-Aug,SEA,hernafe02
39,Matt Cain,Y,217,63,2012,13-Jun,SFN,cainma01
40,Johan Santana*,,350,52,2012,1-Jun,NYN,santajo02
41,Jered Weaver,,183,25,2012,2-May,LAA,weaveje02
42,Philip Humber,Y,56,14,2012,21-Apr,CHA,humbeph01
43,Ervin Santana,,195,105,2011,27-Jul,LAA,santaer01
44,Justin Verlander,,173,34,2011,7-May,DET,verlaju01
45,Francisco Liriano*,,114,28,2011,3-May,MIN,liriafr01
46,Roy HalLANay,,,,2010,6-Oct,PHI,hallaro01
47,Matt Garza,,109,98,2010,26-Jul,TBA,garzama01
48,Edwin Jackson,,155,74,2010,25-Jun,ARI,jacksed01
49,Roy HalLANay,Y,324,48,2010,29-May,PHI,hallaro01
50,Dallas Braden*,Y,68,32,2010,9-May,OAK,bradeda01
51,Ubaldo Jiménez,,87,11,2010,17-Apr,COL,jimenub01
52,Mark Buehrle*,Y,313,95,2009,23-Jul,CHA,buehrma01
53,Jonathan Sánchez*,,106,86,2009,10-Jul,SFN,sanchjo01
54,Carlos Zambrano,,229,147,2008,14-Sep,CHN,zambrca01
55,Jon Lester*,,38,47,2008,19-May,BOS,lestejo01
