TABLE_NAME,COLUMN_NAME,DATA_TYPE
halloffame,playerID,varchar
halloffame,yearID,smallint
halloffame,votedBy,varchar
halloffame,ballots,smallint
halloffame,needed,smallint
halloffame,votes,smallint
halloffame,inducted,varchar
halloffame,category,varchar
teams,teamID,char
teams,yearID,smallint
teams,lgID,char
teams,divID,char
teams,franchID,varchar
teams,team_name,varchar
teams,team_rank,smallint
teams,team_G,smallint
teams,team_G_home,smallint
teams,team_W,smallint
teams,team_L,smallint
teams,DivWin,varchar
teams,WCWin,varchar
teams,LgWin,varchar
teams,WSWin,varchar
teams,park_name,varchar
teams,team_attendance,int
teams,team_BPF,smallint
teams,team_PPF,smallint
teams,team_projW,smallint
teams,team_projL,smallint
pitching,pitching_ID,int
pitching,playerID,varchar
pitching,yearID,smallint
pitching,teamID,char
pitching,stint,smallint
pitching,p_W,smallint
pitching,p_L,smallint
pitching,p_G,smallint
pitching,p_GS,smallint
pitching,p_CG,smallint
pitching,p_SHO,smallint
pitching,p_SV,smallint
pitching,p_IPOuts,int
pitching,p_H,smallint
pitching,p_ER,smallint
pitching,p_HR,smallint
pitching,p_BB,smallint
pitching,p_SO,smallint
pitching,p_BAOpp,double
pitching,p_ERA,double
pitching,p_IBB,smallint
pitching,p_WP,smallint
pitching,p_HBP,smallint
pitching,p_BK,smallint
pitching,p_BFP,smallint
pitching,p_GF,smallint
pitching,p_R,smallint
pitching,p_SH,smallint
pitching,p_SF,smallint
pitching,p_GIDP,smallint
batting,batting_ID,int
batting,playerID,varchar
batting,yearId,smallint
batting,teamID,char
batting,stint,smallint
batting,b_G,smallint
batting,b_AB,smallint
batting,b_R,smallint
batting,b_H,smallint
batting,b_2B,smallint
batting,b_3B,smallint
batting,b_HR,smallint
batting,b_RBI,smallint
batting,b_SB,smallint
batting,b_CS,smallint
batting,b_BB,smallint
batting,b_SO,smallint
batting,b_IBB,smallint
batting,b_HBP,smallint
batting,b_SH,smallint
batting,b_SF,smallint
batting,b_GIDP,smallint
people,playerID,varchar
people,nameFirst,varchar
people,nameLast,varchar
people,nameGiven,varchar
people,bats,varchar
people,throws,varchar
people,debutDate,date
people,finalGameDate,date
awards,awardID,varchar
awards,yearID,smallint
awards,playerID,varchar
awards,lgID,char
awards,tie,varchar
awards,notes,varchar
